# Format: Une ligne = une phrase OU une paire Q|R
# Exemples:
# Bonjour comment vas-tu|Je vais tres bien merci!
# La vie est belle et pleine de surprises.

# === SALUTATIONS ===
je suis perdu 21|Pas grave, on va avancer ensemble.
je ne comprends pas 21|Je peux te l expliquer plus simplement.
explique 21|D accord, je vais faire simple et direct.
resume 21|Voici l idee principale en quelques mots.
detaille 21|Je peux donner plus de contexte si tu veux.
donne un exemple 21|Oui, voici un exemple simple.
que faire 21|Commence par la premiere etape la plus facile.
c est difficile 21|Oui, mais on peut le decouper en petites etapes.
aide-moi 22|Bien sur, explique-moi ton probleme.
j ai besoin d aide 22|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 22|Pas grave, on va avancer ensemble.
je ne comprends pas 22|Je peux te l expliquer plus simplement.
explique 22|D accord, je vais faire simple et direct.
resume 22|Voici l idee principale en quelques mots.
detaille 22|Je peux donner plus de contexte si tu veux.
donne un exemple 22|Oui, voici un exemple simple.
que faire 22|Commence par la premiere etape la plus facile.
c est difficile 22|Oui, mais on peut le decouper en petites etapes.
aide-moi 23|Bien sur, explique-moi ton probleme.
j ai besoin d aide 23|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 23|Pas grave, on va avancer ensemble.
je ne comprends pas 23|Je peux te l expliquer plus simplement.
explique 23|D accord, je vais faire simple et direct.
resume 23|Voici l idee principale en quelques mots.
detaille 23|Je peux donner plus de contexte si tu veux.
donne un exemple 23|Oui, voici un exemple simple.
que faire 23|Commence par la premiere etape la plus facile.
c est difficile 23|Oui, mais on peut le decouper en petites etapes.
aide-moi 24|Bien sur, explique-moi ton probleme.
j ai besoin d aide 24|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 24|Pas grave, on va avancer ensemble.
je ne comprends pas 24|Je peux te l expliquer plus simplement.
explique 24|D accord, je vais faire simple et direct.
resume 24|Voici l idee principale en quelques mots.
detaille 24|Je peux donner plus de contexte si tu veux.
donne un exemple 24|Oui, voici un exemple simple.
que faire 24|Commence par la premiere etape la plus facile.
c est difficile 24|Oui, mais on peut le decouper en petites etapes.
aide-moi 25|Bien sur, explique-moi ton probleme.
j ai besoin d aide 25|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 25|Pas grave, on va avancer ensemble.
je ne comprends pas 25|Je peux te l expliquer plus simplement.
explique 25|D accord, je vais faire simple et direct.
resume 25|Voici l idee principale en quelques mots.
detaille 25|Je peux donner plus de contexte si tu veux.
donne un exemple 25|Oui, voici un exemple simple.
que faire 25|Commence par la premiere etape la plus facile.
c est difficile 25|Oui, mais on peut le decouper en petites etapes.
aide-moi 26|Bien sur, explique-moi ton probleme.
j ai besoin d aide 26|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 26|Pas grave, on va avancer ensemble.
je ne comprends pas 26|Je peux te l expliquer plus simplement.
explique 26|D accord, je vais faire simple et direct.
resume 26|Voici l idee principale en quelques mots.
detaille 26|Je peux donner plus de contexte si tu veux.
donne un exemple 26|Oui, voici un exemple simple.
que faire 26|Commence par la premiere etape la plus facile.
c est difficile 26|Oui, mais on peut le decouper en petites etapes.
aide-moi 27|Bien sur, explique-moi ton probleme.
j ai besoin d aide 27|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 27|Pas grave, on va avancer ensemble.
je ne comprends pas 27|Je peux te l expliquer plus simplement.
explique 27|D accord, je vais faire simple et direct.
resume 27|Voici l idee principale en quelques mots.
detaille 27|Je peux donner plus de contexte si tu veux.
donne un exemple 27|Oui, voici un exemple simple.
que faire 27|Commence par la premiere etape la plus facile.
c est difficile 27|Oui, mais on peut le decouper en petites etapes.
aide-moi 28|Bien sur, explique-moi ton probleme.
j ai besoin d aide 28|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 28|Pas grave, on va avancer ensemble.
je ne comprends pas 28|Je peux te l expliquer plus simplement.
explique 28|D accord, je vais faire simple et direct.
resume 28|Voici l idee principale en quelques mots.
detaille 28|Je peux donner plus de contexte si tu veux.
donne un exemple 28|Oui, voici un exemple simple.
que faire 28|Commence par la premiere etape la plus facile.
c est difficile 28|Oui, mais on peut le decouper en petites etapes.
aide-moi 29|Bien sur, explique-moi ton probleme.
j ai besoin d aide 29|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 29|Pas grave, on va avancer ensemble.
je ne comprends pas 29|Je peux te l expliquer plus simplement.
explique 29|D accord, je vais faire simple et direct.
resume 29|Voici l idee principale en quelques mots.
detaille 29|Je peux donner plus de contexte si tu veux.
donne un exemple 29|Oui, voici un exemple simple.
que faire 29|Commence par la premiere etape la plus facile.
c est difficile 29|Oui, mais on peut le decouper en petites etapes.
aide-moi 30|Bien sur, explique-moi ton probleme.
j ai besoin d aide 30|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 30|Pas grave, on va avancer ensemble.
je ne comprends pas 30|Je peux te l expliquer plus simplement.
explique 30|D accord, je vais faire simple et direct.
resume 30|Voici l idee principale en quelques mots.
detaille 30|Je peux donner plus de contexte si tu veux.
donne un exemple 30|Oui, voici un exemple simple.
que faire 30|Commence par la premiere etape la plus facile.
c est difficile 30|Oui, mais on peut le decouper en petites etapes.
aide-moi 31|Bien sur, explique-moi ton probleme.
j ai besoin d aide 31|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 31|Pas grave, on va avancer ensemble.
je ne comprends pas 31|Je peux te l expliquer plus simplement.
explique 31|D accord, je vais faire simple et direct.
resume 31|Voici l idee principale en quelques mots.
detaille 31|Je peux donner plus de contexte si tu veux.
donne un exemple 31|Oui, voici un exemple simple.
que faire 31|Commence par la premiere etape la plus facile.
c est difficile 31|Oui, mais on peut le decouper en petites etapes.
aide-moi 32|Bien sur, explique-moi ton probleme.
j ai besoin d aide 32|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 32|Pas grave, on va avancer ensemble.
je ne comprends pas 32|Je peux te l expliquer plus simplement.
explique 32|D accord, je vais faire simple et direct.
resume 32|Voici l idee principale en quelques mots.
detaille 32|Je peux donner plus de contexte si tu veux.
donne un exemple 32|Oui, voici un exemple simple.
que faire 32|Commence par la premiere etape la plus facile.
c est difficile 32|Oui, mais on peut le decouper en petites etapes.
aide-moi 33|Bien sur, explique-moi ton probleme.
j ai besoin d aide 33|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 33|Pas grave, on va avancer ensemble.
je ne comprends pas 33|Je peux te l expliquer plus simplement.
explique 33|D accord, je vais faire simple et direct.
resume 33|Voici l idee principale en quelques mots.
detaille 33|Je peux donner plus de contexte si tu veux.
donne un exemple 33|Oui, voici un exemple simple.
que faire 33|Commence par la premiere etape la plus facile.
c est difficile 33|Oui, mais on peut le decouper en petites etapes.
aide-moi 34|Bien sur, explique-moi ton probleme.
j ai besoin d aide 34|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 34|Pas grave, on va avancer ensemble.
je ne comprends pas 34|Je peux te l expliquer plus simplement.
explique 34|D accord, je vais faire simple et direct.
resume 34|Voici l idee principale en quelques mots.
detaille 34|Je peux donner plus de contexte si tu veux.
donne un exemple 34|Oui, voici un exemple simple.
que faire 34|Commence par la premiere etape la plus facile.
c est difficile 34|Oui, mais on peut le decouper en petites etapes.
aide-moi 35|Bien sur, explique-moi ton probleme.
j ai besoin d aide 35|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 35|Pas grave, on va avancer ensemble.
je ne comprends pas 35|Je peux te l expliquer plus simplement.
explique 35|D accord, je vais faire simple et direct.
resume 35|Voici l idee principale en quelques mots.
detaille 35|Je peux donner plus de contexte si tu veux.
donne un exemple 35|Oui, voici un exemple simple.
que faire 35|Commence par la premiere etape la plus facile.
c est difficile 35|Oui, mais on peut le decouper en petites etapes.
aide-moi 36|Bien sur, explique-moi ton probleme.
j ai besoin d aide 36|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 36|Pas grave, on va avancer ensemble.
je ne comprends pas 36|Je peux te l expliquer plus simplement.
explique 36|D accord, je vais faire simple et direct.
resume 36|Voici l idee principale en quelques mots.
detaille 36|Je peux donner plus de contexte si tu veux.
donne un exemple 36|Oui, voici un exemple simple.
que faire 36|Commence par la premiere etape la plus facile.
c est difficile 36|Oui, mais on peut le decouper en petites etapes.
aide-moi 37|Bien sur, explique-moi ton probleme.
j ai besoin d aide 37|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 37|Pas grave, on va avancer ensemble.
je ne comprends pas 37|Je peux te l expliquer plus simplement.
explique 37|D accord, je vais faire simple et direct.
resume 37|Voici l idee principale en quelques mots.
detaille 37|Je peux donner plus de contexte si tu veux.
donne un exemple 37|Oui, voici un exemple simple.
que faire 37|Commence par la premiere etape la plus facile.
c est difficile 37|Oui, mais on peut le decouper en petites etapes.
aide-moi 38|Bien sur, explique-moi ton probleme.
j ai besoin d aide 38|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 38|Pas grave, on va avancer ensemble.
je ne comprends pas 38|Je peux te l expliquer plus simplement.
explique 38|D accord, je vais faire simple et direct.
resume 38|Voici l idee principale en quelques mots.
detaille 38|Je peux donner plus de contexte si tu veux.
donne un exemple 38|Oui, voici un exemple simple.
que faire 38|Commence par la premiere etape la plus facile.
c est difficile 38|Oui, mais on peut le decouper en petites etapes.
aide-moi 39|Bien sur, explique-moi ton probleme.
j ai besoin d aide 39|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 39|Pas grave, on va avancer ensemble.
je ne comprends pas 39|Je peux te l expliquer plus simplement.
explique 39|D accord, je vais faire simple et direct.
resume 39|Voici l idee principale en quelques mots.
detaille 39|Je peux donner plus de contexte si tu veux.
donne un exemple 39|Oui, voici un exemple simple.
que faire 39|Commence par la premiere etape la plus facile.
c est difficile 39|Oui, mais on peut le decouper en petites etapes.
aide-moi 40|Bien sur, explique-moi ton probleme.
j ai besoin d aide 40|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 40|Pas grave, on va avancer ensemble.
je ne comprends pas 40|Je peux te l expliquer plus simplement.
explique 40|D accord, je vais faire simple et direct.
resume 40|Voici l idee principale en quelques mots.
detaille 40|Je peux donner plus de contexte si tu veux.
donne un exemple 40|Oui, voici un exemple simple.
que faire 40|Commence par la premiere etape la plus facile.
c est difficile 40|Oui, mais on peut le decouper en petites etapes.
aide-moi 41|Bien sur, explique-moi ton probleme.
j ai besoin d aide 41|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 41|Pas grave, on va avancer ensemble.
je ne comprends pas 41|Je peux te l expliquer plus simplement.
explique 41|D accord, je vais faire simple et direct.
resume 41|Voici l idee principale en quelques mots.
detaille 41|Je peux donner plus de contexte si tu veux.
donne un exemple 41|Oui, voici un exemple simple.
que faire 41|Commence par la premiere etape la plus facile.
c est difficile 41|Oui, mais on peut le decouper en petites etapes.
aide-moi 42|Bien sur, explique-moi ton probleme.
j ai besoin d aide 42|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 42|Pas grave, on va avancer ensemble.
je ne comprends pas 42|Je peux te l expliquer plus simplement.
explique 42|D accord, je vais faire simple et direct.
resume 42|Voici l idee principale en quelques mots.
detaille 42|Je peux donner plus de contexte si tu veux.
donne un exemple 42|Oui, voici un exemple simple.
que faire 42|Commence par la premiere etape la plus facile.
c est difficile 42|Oui, mais on peut le decouper en petites etapes.
aide-moi 43|Bien sur, explique-moi ton probleme.
j ai besoin d aide 43|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 43|Pas grave, on va avancer ensemble.
je ne comprends pas 43|Je peux te l expliquer plus simplement.
explique 43|D accord, je vais faire simple et direct.
resume 43|Voici l idee principale en quelques mots.
detaille 43|Je peux donner plus de contexte si tu veux.
donne un exemple 43|Oui, voici un exemple simple.
que faire 43|Commence par la premiere etape la plus facile.
c est difficile 43|Oui, mais on peut le decouper en petites etapes.
aide-moi 44|Bien sur, explique-moi ton probleme.
j ai besoin d aide 44|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 44|Pas grave, on va avancer ensemble.
je ne comprends pas 44|Je peux te l expliquer plus simplement.
explique 44|D accord, je vais faire simple et direct.
resume 44|Voici l idee principale en quelques mots.
detaille 44|Je peux donner plus de contexte si tu veux.
donne un exemple 44|Oui, voici un exemple simple.
que faire 44|Commence par la premiere etape la plus facile.
c est difficile 44|Oui, mais on peut le decouper en petites etapes.
aide-moi 45|Bien sur, explique-moi ton probleme.
j ai besoin d aide 45|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 45|Pas grave, on va avancer ensemble.
je ne comprends pas 45|Je peux te l expliquer plus simplement.
explique 45|D accord, je vais faire simple et direct.
resume 45|Voici l idee principale en quelques mots.
detaille 45|Je peux donner plus de contexte si tu veux.
donne un exemple 45|Oui, voici un exemple simple.
que faire 45|Commence par la premiere etape la plus facile.
c est difficile 45|Oui, mais on peut le decouper en petites etapes.
aide-moi 46|Bien sur, explique-moi ton probleme.
j ai besoin d aide 46|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 46|Pas grave, on va avancer ensemble.
je ne comprends pas 46|Je peux te l expliquer plus simplement.
explique 46|D accord, je vais faire simple et direct.
resume 46|Voici l idee principale en quelques mots.
detaille 46|Je peux donner plus de contexte si tu veux.
donne un exemple 46|Oui, voici un exemple simple.
que faire 46|Commence par la premiere etape la plus facile.
c est difficile 46|Oui, mais on peut le decouper en petites etapes.
aide-moi 47|Bien sur, explique-moi ton probleme.
j ai besoin d aide 47|Je suis la, raconte-moi ce qu il se passe.
je suis perdu 47|Pas grave, on va avancer ensemble.
je ne comprends pas 47|Je peux te l expliquer plus simplement.
explique 47|D accord, je vais faire simple et direct.
resume 47|Voici l idee principale en quelques mots.
detaille 47|Je peux donner plus de contexte si tu veux.
donne un exemple 47|Oui, voici un exemple simple.
